wbcode,country,year,legal_rel,political_rel,economic_rel,legalWIQR,politicalWIQR,economicWIQR,legalWIQR2,politicalWIQR2,economicWIQR2,legal_abs,political_abs,economic_abs,cluster
"ADO","Andorra",1990,,,,,,,,,,,,,
"ADO","Pepino",1991,,,,,,,,,,,,,
"ADO","Andorra",1992,,,,,,,,,,,,,
"ADO","Andorra",1993,,,,,,,,,,,,,
"ADO","Andorra",1994,,,,,,,,,,,,,
"ADO","Andorra",1995,,,,,,,,,,,,,
"ADO","Andorra",1996,,,,,,,,,,,,,
"ADO","Andorra",1997,,,,,,,,,,,,,
"ADO","Andorra",1998,,,,,,,,,,,,,
"ADO","Andorra",1999,,,,,,,,,,,,,
"ADO","Andorra",2000,,,,,,,,,,,,,
"ADO","Andorra",2001,,,,,,,,,,,,,
"ADO","Andorra",2002,,,,,,,,,,.9368335,,.8155718,
"ADO","Andorra",2003,,,,,,,,,,.9221439,,.7794704,
"ADO","Andorra",2004,,,,,,,,,,.9328465,,.7781236,
"ADO","Andorra",2005,,,,,,,,,,.9190173,,.775176,
"ADO","Andorra",2006,,,,,,,,,,.9128097,,.7746405,
"ADO","Andorra",2007,,,,,,,,,,.932852,,.7767561,
"ADO","Andorra",2008,,,,,,,,,,.933064,,.7785838,
"ADO","Andorra",2009,,,,,,,,,,.9350441,,.7788762,
"ADO","Andorra",2010,,,,,,,,,,.9339567,,.7775201,
"AFG","Afghanistan",1990,,,,,,,,,,,.0875,,
"AFG","Afghanistan",1991,,,,,,,,,,,.05625,,
"AFG","Afghanistan",1992,,,,,,,,,,,.1979167,,
"AFG","Afghanistan",1993,,,,,,,,,,,.15625,,
"AFG","Afghanistan",1994,,,,,,,,,,,.1,0,
"AFG","Afghanistan",1995,,,,,,,,,,,.1,0,
"AFG","Afghanistan",1996,,,,,,,,,,.0706744,.0533936,.0558481,
"AFG","Afghanistan",1997,,,,,,,,,,.0713015,.0327501,.0543285,
"AFG","Afghanistan",1998,,,,,,,,,,.0719285,.0329399,.0528089,
"AFG","Afghanistan",1999,,,,,,,,,,.070826,.0315488,.0512502,
"AFG","Afghanistan",2000,,,,,,,,,,.0697235,.0301577,.0496916,
"AFG","Afghanistan",2001,,,,,,,,,,,.0208575,.1311501,
"AFG","Afghanistan",2002,,,,,,,,,,.1863914,.1355161,.2481252,
"AFG","Afghanistan",2003,,,,,,,,,,.1935513,.1653276,.2872841,
"AFG","Afghanistan",2004,,,,,,,,,,.2240606,.1858957,.2857728,
"AFG","Afghanistan",2005,,,,,,,,,,.2786118,.1635624,.2712058,
"AFG","Afghanistan",2006,,,,,,,,,,.2620904,.1531786,.2683389,
"AFG","Afghanistan",2007,,,,,,,,,,.2638681,.138302,.2677397,
"AFG","Afghanistan",2008,,,,,,,,,,.1961334,.1230987,.2760025,
"AFG","Afghanistan",2009,,,,,,,,,,.198985,.0917509,.251748,
"AFG","Afghanistan",2010,,,,,,,,,,.1994763,.1105604,.2828502,
"AGO","Angola",1990,-.9741939,-1.101648,,,81,,116,100,,.3425926,.2574074,.5833333,1
"AGO","Angola",1991,-.558919,-.8807429,,,78,,87,93,,.5,.3259259,.5416667,1
"AGO","Angola",1992,-.703738,-.9799489,,,82,,101,98,,.4583333,.3117284,.4097222,1
"AGO","Angola",1993,-1.520394,-1.468159,,,85,,124,108,,.2958333,.211299,.2222222,1
"AGO","Angola",1994,-1.520363,-1.599089,,,85,,123,111,,.3131945,.1953268,.1840278,1
"AGO","Angola",1995,,-1.293655,,,84,,,109,,.3588889,.2697712,.2538194,1
"AGO","Angola",1996,-1.626154,-1.142306,,,83,,116,106,,.3082801,.3025021,.2995384,1
"AGO","Angola",1997,-1.617923,-1.227409,,,82,,117,108,,.3233044,.2780747,.2878473,1
"AGO","Angola",1998,-1.630763,-1.42485,,,85,,120,113,,.3336992,.2149665,.2756006,1
"AGO","Angola",1999,-1.599516,-1.537282,,,85,,132,123,,.3348793,.1915651,.2428386,1
"AGO","Angola",2000,,-1.460313,,,86,,,123,,.3244854,.2221476,.2378543,1
"AGO","Angola",2001,,-1.50786,,,86,,,124,,.3716299,.2514268,.2946955,1
"AGO","Angola",2002,,-1.261474,,,82,,,117,,.4122107,.2816257,.3938931,1
"AGO","Angola",2003,,-1.387382,,,84,,,111,,.428805,.2970337,.4303001,1
"AGO","Angola",2004,,-1.407137,,,84,,,113,,.4251828,.2853385,.3613727,1
"AGO","Angola",2005,,-1.376953,,,84,,,118,,.3876386,.2960765,.311552,1
"AGO","Angola",2006,-1.384297,-1.240474,-1.62334,,82,,107,113,105,.3863536,.321154,.3845346,1
"AGO","Angola",2007,-1.444731,-1.265025,-1.555979,,81,,108,115,107,.3674903,.3172231,.3900089,1
"AGO","Angola",2008,,-1.24562,,,83,,,118,,.3829804,.3289526,.3749892,1
"AGO","Angola",2009,-1.312685,-1.313116,-1.499112,,84,,109,122,107,.3665153,.315097,.3717534,1
"AGO","Angola",2010,-1.495058,-1.238374,-1.383281,,83,,112,120,105,.3425547,.3231918,.4020058,1
"ALB","Albania",1990,.1798743,-.2196933,-1.214047,43,,80,50,55,99,.6111111,.4716049,.125,2
"ALB","Albania",1991,.1053487,-.0609989,-1.32791,45,,81,52,51,100,.6574074,.4924383,.1480184,2
"ALB","Albania",1992,.0852775,,-1.474467,47,,83,57,,103,.6712963,.5859375,.1571478,2
"ALB","Albania",1993,-.3452191,.1604701,-1.055011,59,,77,74,48,92,.5263889,.5351879,.2224663,2
"ALB","Albania",1994,-.2631729,-.0323696,-.7753416,60,,69,74,56,78,.5819444,.5226879,.2931032,2
"ALB","Albania",1995,-.4940377,-.0999005,-.6881413,61,,69,70,61,78,.5390151,.5206046,.4102112,2
"ALB","Albania",1996,-.6865265,-.5373923,-.7263464,75,,73,91,76,79,.5203274,.4375283,.4358824,2
"ALB","Albania",1997,-.7335328,-.5355751,-.8535895,78,,74,97,79,83,.5053356,.4104309,.4213398,2
"ALB","Albania",1998,-.9453893,-.3000542,-.9124896,80,,74,102,70,85,.4458992,.4585859,.4059291,2
"ALB","Albania",1999,-.9827992,-.409166,-.8937289,82,,76,114,81,91,.4127423,.4172194,.3923247,2
"ALB","Albania",2000,-1.234697,-.3280815,-.8438178,81,,76,102,77,90,.3968625,.4560038,.4068453,2
"ALB","Albania",2001,-1.214794,-.1435136,-.8820257,80,,74,101,69,88,.4184409,.5239958,.4770548,2
"ALB","Albania",2002,-.9813088,-.1748187,-.6737055,73,,66,88,69,78,.4662099,.4906299,.5198171,2
"ALB","Albania",2003,-.8867127,-.2544132,-.6428855,72,,67,87,64,80,.4794327,.5500802,.5493616,2
"ALB","Albania",2004,-1.046966,-.2233962,-.6012431,73,,58,89,65,70,.3957282,.5388516,.5334597,2
"ALB","Albania",2005,-1.096814,-.213195,-.7535961,75,,63,92,67,75,.4182006,.5465982,.5218553,2
"ALB","Albania",2006,-1.024651,-.1544022,-.3835326,73,,55,93,64,68,.4268196,.5524315,.5652388,2
"ALB","Albania",2007,-.960541,-.0745374,-.2758868,72,,52,95,59,64,.4365445,.554392,.5678163,2
"ALB","Albania",2008,-.8237638,.0451379,-.2052077,68,,50,87,56,61,.4654927,.5821671,.5674347,2
"ALB","Albania",2009,-.623612,.0554594,.0977062,60,,41,74,55,51,.4802287,.5828797,.6187076,2
"ALB","Albania",2010,-.6100659,.0430514,.0727473,61,,42,76,55,55,.4828254,.5800349,.621995,2
"ARE","United Arab Emirates",1990,-.5454648,-.594311,.5838197,60,65,26,84,78,28,.3888889,.3953704,.6761136,3
"ARE","United Arab Emirates",1991,-.5894532,-.6952515,.614565,63,71,28,89,84,31,.3888889,.3814815,.6859046,3
"ARE","United Arab Emirates",1992,-.2612024,-.5196572,.5865547,58,66,28,74,77,31,.5555556,.4416667,.6870152,3
"ARE","United Arab Emirates",1993,-.7605353,-.7972461,.2535256,75,71,37,96,89,39,.4291667,.4041667,.5449449,3
"ARE","United Arab Emirates",1994,-.8573636,-.7412503,.2518934,78,72,41,101,92,44,.4208333,.4279167,.5511111,3
"ARE","United Arab Emirates",1995,-.707947,-.7929034,.2620769,72,71,41,82,92,44,.4795218,.4141667,.5439439,3
"ARE","United Arab Emirates",1996,-.0750123,-.6833558,.4267117,49,67,32,54,84,34,.5576573,.4151038,.6264715,3
"ARE","United Arab Emirates",1997,-.0667903,-.5891207,.3199251,48,64,37,55,80,40,.5584719,.4137599,.6292697,3
"ARE","United Arab Emirates",1998,-.052391,-.4760308,.2516394,47,60,41,54,76,44,.5592865,.4275675,.6320679,3
"ARE","United Arab Emirates",1999,-.0041824,-.4609877,.3649198,48,60,39,59,82,46,.559103,.440485,.6373966,3
"ARE","United Arab Emirates",2000,-.0648343,-.5464455,.4086209,42,62,36,51,88,42,.5903634,.4420388,.6427254,3
"ARE","United Arab Emirates",2001,.1296391,-.4046495,.5455048,38,55,32,47,78,37,.6068416,.4764655,.6758297,3
"ARE","United Arab Emirates",2002,.117861,-.414122,.644113,37,56,29,46,78,35,.584431,.4606396,.7021677,3
"ARE","United Arab Emirates",2003,-.1630525,-.2903332,.3327571,44,51,36,55,66,45,.5500079,.4747464,.6476893,3
"ARE","United Arab Emirates",2004,-.198746,-.1412113,.2108634,45,46,36,55,61,44,.5140593,.485419,.6448291,3
"ARE","United Arab Emirates",2005,-.0538434,-.0675704,.2069719,42,45,37,51,61,45,.5420516,.4891013,.6577128,3
"ARE","United Arab Emirates",2006,.1188711,-.0805738,.1445352,38,43,38,47,60,48,.566946,.4848222,.6350369,3
